pr_id,review_count,request_changes_count,comment_count,post_review_review_count
2779120679,0,0.0,2.0,0
2779258612,0,0.0,1.0,0
2779356294,0,0.0,10.0,0
2779630816,1,0.0,4.0,0
2779790975,0,0.0,4.0,0
2779799871,0,0.0,4.0,0
2779809128,1,0.0,5.0,0
2780097022,0,0.0,7.0,0
2780170863,0,0.0,7.0,0
2780174351,1,0.0,5.0,0
2780400636,0,0.0,7.0,0
2780647811,0,0.0,3.0,0
2780834098,1,0.0,4.0,0
2780883677,4,3.0,24.0,3
2780910368,2,0.0,4.0,1
2781582272,0,0.0,3.0,0
2781604779,0,0.0,3.0,0
2781992674,3,0.0,20.0,2
2782133644,0,0.0,1.0,0
2782215003,0,0.0,1.0,0
2782215521,0,0.0,1.0,0
2782319973,0,0.0,2.0,0
2782321208,0,0.0,1.0,0
2782330828,0,0.0,1.0,0
2782413167,0,0.0,2.0,0
2782528229,0,0.0,3.0,0
2782566930,5,0.0,6.0,4
2782676212,0,0.0,1.0,0
2782722999,0,0.0,1.0,0
2783286259,0,0.0,4.0,0
2783341899,1,0.0,3.0,0
2783421768,14,0.0,18.0,13
2783423999,4,2.0,7.0,3
2783583943,4,0.0,6.0,3
2784379195,1,0.0,3.0,0
2784386339,0,0.0,2.0,0
2784399427,0,0.0,2.0,0
2784409350,0,0.0,2.0,0
2784417626,0,0.0,2.0,0
2784488870,0,0.0,1.0,0
2784500442,0,0.0,1.0,0
2784574087,0,0.0,2.0,0
2784590302,0,0.0,2.0,0
2784700018,0,0.0,2.0,0
2784931990,0,0.0,1.0,0
2784993744,1,0.0,3.0,0
2785282766,0,0.0,2.0,0
2785589564,4,0.0,8.0,3
2785608814,0,0.0,2.0,0
2785628775,0,0.0,2.0,0
2785674579,0,0.0,1.0,0
2785728592,0,0.0,3.0,0
2786312650,0,0.0,4.0,0
2786715226,2,0.0,5.0,1
2786817367,0,0.0,2.0,0
2786819123,0,0.0,2.0,0
2787618893,0,0.0,1.0,0
2787693519,0,0.0,2.0,0
2788022491,2,0.0,3.0,1
2788027928,1,0.0,3.0,0
2788029019,1,0.0,2.0,0
2788059326,0,0.0,5.0,0
2788087431,0,0.0,2.0,0
2788840620,2,0.0,2.0,1
2788912798,1,0.0,6.0,0
2789118244,0,0.0,7.0,0
2790021945,0,0.0,2.0,0
2790033388,1,0.0,2.0,0
2790117302,0,0.0,2.0,0
2790142805,1,0.0,2.0,0
2790183982,1,0.0,2.0,0
2790317638,0,0.0,2.0,0
2790488372,0,0.0,2.0,0
2790868866,0,0.0,1.0,0
2790906463,0,0.0,2.0,0
2790908639,1,0.0,3.0,0
2791025700,0,0.0,2.0,0
2791026524,1,0.0,3.0,0
2791079062,0,0.0,3.0,0
