split,budget_frac,k,n_test,pos_rate_test,model,precision,recall,f1,num_features_used
28,0.1,1325,13250,0.1099622641509434,agent_prior,0.6045283018867924,0.5497597803706246,0.5758447160316319,1
28,0.1,1325,13250,0.1099622641509434,logit_agent_plus_early,0.6045283018867924,0.5497597803706246,0.5758447160316319,1
28,0.2,2650,13250,0.1099622641509434,agent_prior,0.4532075471698113,0.824296499656829,0.584855125395666,1
28,0.2,2650,13250,0.1099622641509434,logit_agent_plus_early,0.4532075471698113,0.824296499656829,0.584855125395666,1
29,0.1,387,3872,0.32231404958677684,agent_prior,0.34366925064599485,0.10657051282051282,0.16269113149847095,1
29,0.1,387,3872,0.32231404958677684,logit_agent_plus_early,0.34366925064599485,0.10657051282051282,0.16269113149847095,1
29,0.2,774,3872,0.32231404958677684,agent_prior,0.458656330749354,0.2844551282051282,0.35113748763600394,1
29,0.2,774,3872,0.32231404958677684,logit_agent_plus_early,0.458656330749354,0.2844551282051282,0.35113748763600394,1
30,0.1,387,3870,0.43281653746770027,agent_prior,0.5167958656330749,0.11940298507462686,0.19398642095053345,1
30,0.1,387,3870,0.43281653746770027,logit_agent_plus_early,0.5167958656330749,0.11940298507462686,0.19398642095053345,1
30,0.2,774,3870,0.43281653746770027,agent_prior,0.5788113695090439,0.26746268656716415,0.365863617803185,1
30,0.2,774,3870,0.43281653746770027,logit_agent_plus_early,0.5788113695090439,0.26746268656716415,0.365863617803185,1
